"Name","Subject","Message","Date","Phone Number","Country","Attachments"
"Me","","Hey","May 1, 2016, 3:51:15 PM","+18559822679","",""
"morrow","","Hey, I'm Morrow. ✨
I'm here to help you do one thing at a time. To start a new thing, you must finish or abandon what you're working on.","May 1, 2016, 3:51:26 PM","+18559822679","",""
"morrow","","But before we begin with all that, what's your first name?","May 1, 2016, 3:51:29 PM","+18559822679","",""
"Me","","Andrew","May 1, 2016, 3:51:40 PM","+18559822679","",""
"morrow","","Nice to meet you, Andrew. I'll check in on you every day if you haven't finished or abandoned your current task. Just say 'stop' if you want me to stop.","May 1, 2016, 3:51:41 PM","+18559822679","",""
"morrow","","What's the first thing you want to do?","May 1, 2016, 3:51:44 PM","+18559822679","",""
"Me","","I would like to apply for Botcamp","May 1, 2016, 3:51:57 PM","+18559822679","",""
"morrow","","How long do you have to work on it?","May 1, 2016, 3:52:03 PM","+18559822679","",""
"Me","","Two hours","May 1, 2016, 3:52:09 PM","+18559822679","",""
"morrow","","Awesome. Are you ready to start?","May 1, 2016, 3:52:10 PM","+18559822679","",""
"Me","","Not yet - give me 15 minutes","May 1, 2016, 3:52:18 PM","+18559822679","",""
"morrow","","What's that - 900 seconds? I'll check in then, or just say 'let's go!' to get started before then.","May 1, 2016, 3:52:19 PM","+18559822679","",""
"morrow","","Ready to go?","May 1, 2016, 3:52:30 PM","+18559822679","",""
"morrow","","Hey, I'm Morrow. ✨
I'm here to help you do one thing at a time. To start a new thing, you must finish or abandon what you're working on.","May 1, 2016, 9:06:31 PM","+18559822679","",""
"morrow","","But before we begin with all that, what's your first name?","May 1, 2016, 9:06:39 PM","+18559822679","",""
"morrow","","Hey, I'm Morrow. ✨
I'm here to help you do one thing at a time. To start a new thing, you must finish or abandon what you're working on.","May 1, 2016, 9:07:06 PM","+18559822679","",""
"morrow","","But before we begin with all that, what's your first name?","May 1, 2016, 9:07:14 PM","+18559822679","",""
"morrow","","Nice to meet you, Andrew. I'll check in on you every day if you haven't finished or abandoned your current task. Just say 'stop' if you want me to stop.","May 1, 2016, 9:08:00 PM","+18559822679","",""
"morrow","","What's the first thing you want to do?","May 1, 2016, 9:08:08 PM","+18559822679","",""
"morrow","","Hey, I'm Morrow. ✨
I'm here to help you do one thing at a time. To start a new thing, you must finish or abandon what you're working on.","May 1, 2016, 9:08:45 PM","+18559822679","",""
"morrow","","But before we begin with all that, what's your first name?","May 1, 2016, 9:08:53 PM","+18559822679","",""
"morrow","","Nice to meet you, Andrew. I'll check in on you every day if you haven't finished or abandoned your current task. Just say 'stop' if you want me to stop.","May 1, 2016, 9:09:30 PM","+18559822679","",""
"morrow","","What's the first thing you want to do?","May 1, 2016, 9:09:38 PM","+18559822679","",""
"morrow","","Hey, I'm Morrow. ✨
I'm here to help you do one thing at a time. To start a new thing, you must finish or abandon what you're working on.","May 1, 2016, 9:15:32 PM","+18559822679","",""
"morrow","","But before we begin with all that, what's your first name?","May 1, 2016, 9:15:35 PM","+18559822679","",""
"Me","","Andrew","May 1, 2016, 9:15:40 PM","+18559822679","",""
"morrow","","Nice to meet you, Andrew. I'll check in on you every day if you haven't finished or abandoned your current task. Just say 'stop' if you want me to stop.","May 1, 2016, 9:15:41 PM","+18559822679","",""
"morrow","","What's the first thing you want to do?","May 1, 2016, 9:15:45 PM","+18559822679","",""
"Me","","Conquer the world","May 1, 2016, 9:15:56 PM","+18559822679","",""
"morrow","","How long do you have to work on it?","May 1, 2016, 9:15:57 PM","+18559822679","",""
"Me","","Probably an hour","May 1, 2016, 9:16:16 PM","+18559822679","",""
"morrow","","Awesome. Are you ready to start?","May 1, 2016, 9:16:17 PM","+18559822679","",""
"Me","","Sure!","May 1, 2016, 9:16:22 PM","+18559822679","",""
"morrow","","Good luck ✨","May 1, 2016, 9:16:23 PM","+18559822679","",""
"morrow","","Let me know if you get stuck, if you finish, or if you want to quit this task.","May 1, 2016, 9:16:26 PM","+18559822679","",""
"Me","","stuck","May 1, 2016, 9:16:37 PM","+18559822679","",""
"morrow","","Fear not. Be very descriptive: what is the exact, specific problem that you're stuck on? The clearer you get, the faster you'll solve it.","May 1, 2016, 9:16:38 PM","+18559822679","",""
"Me","","I don’t know if i’ve subitted everything i need to submit for botcamp","May 1, 2016, 9:17:02 PM","+18559822679","",""
"morrow","","Got it. Now go take a break. Tell me when you've figured it out, or say that you quit. (I'll remind you tomorrow).","May 1, 2016, 9:17:04 PM","+18559822679","",""
"Me","","Done","May 2, 2016, 5:49:34 PM","+18559822679","",""
"morrow","","Cool, you can just copy and paste the task name from above if you wanna pick it up again. What's next, though?","May 2, 2016, 5:49:37 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:49:38 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:49:41 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:49:44 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:49:47 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:49:51 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:49:54 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:49:57 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:50:00 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:50:04 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:50:07 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:50:10 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:50:14 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:50:17 PM","+18559822679","",""
"morrow","","Hey, just checking in. What's the one thing you want to get done today?","May 3, 2016, 3:50:20 PM","+18559822679","",""
